date,ward,revenue_stream,collector_id,expected_revenue,actual_revenue,transactions,revenue_gap,deviation_pct,is_round_number,average_transaction
2025-01-01,Ward 8,Business Licenses,COL-031,17625.0,16764.12,109,-860.88,-4.88,False,153.8
2025-01-01,Ward 8,Market Fees,COL-030,6264.0,5366.65,627,-897.35,-14.33,False,8.56
2025-01-01,Ward 8,Property Rates,COL-029,32256.0,30600.84,378,-1655.16,-5.13,False,80.95
2025-02-01,Ward 1,Beer Hall Levies,COL-004,9872.48,9887.58,216,15.1,0.15,False,45.78
2025-02-01,Ward 1,Business Licenses,COL-003,25840.45,28980.51,163,3140.06,12.15,False,177.79
2025-02-01,Ward 1,Market Fees,COL-002,16820.93,16204.56,1513,-616.37,-3.66,False,10.71
2025-02-01,Ward 1,Property Rates,COL-001,73481.94,75347.63,864,1865.69,2.54,False,87.21
2025-02-01,Ward 2,Beer Hall Levies,COL-008,7489.47,7207.89,165,-281.58,-3.76,False,43.68
2025-02-01,Ward 2,Business Licenses,COL-007,19603.1,18475.74,125,-1127.36,-5.75,False,147.81
2025-02-01,Ward 2,Market Fees,COL-006,12760.7,12955.81,1097,195.11,1.53,False,11.81
2025-02-01,Ward 2,Property Rates,COL-005,55744.92,53575.39,584,-2169.53,-3.89,False,91.74
2025-02-01,Ward 3,Beer Hall Levies,COL-012,5787.32,5677.25,129,-110.07,-1.9,False,44.01
2025-02-01,Ward 3,Business Licenses,COL-011,15147.85,13483.11,103,-1664.74,-10.99,False,130.9
2025-02-01,Ward 3,Market Fees,COL-010,9860.54,9416.74,873,-443.8,-4.5,False,10.79
2025-02-01,Ward 3,Property Rates,COL-009,43075.62,39588.02,514,-3487.6,-8.1,False,77.02
2025-02-01,Ward 4,Beer Hall Levies,COL-016,8170.33,9429.67,190,1259.34,15.41,False,49.63
2025-02-01,Ward 4,Business Licenses,COL-015,21385.2,20048.32,129,-1336.88,-6.25,False,155.41
2025-02-01,Ward 4,Market Fees,COL-014,13920.77,15696.07,1117,1775.3,12.75,False,14.05
2025-02-01,Ward 4,Property Rates,COL-013,60812.64,65217.2,728,4404.56,7.24,False,89.58
2025-02-01,Ward 5,Beer Hall Levies,COL-020,4766.03,4910.51,106,144.48,3.03,False,46.33
2025-02-01,Ward 5,Business Licenses,COL-019,12474.7,11874.27,76,-600.43,-4.81,False,156.24
2025-02-01,Ward 5,Market Fees,COL-018,8120.45,7385.64,777,-734.81,-9.05,False,9.51
2025-02-01,Ward 5,Property Rates,COL-017,35474.04,34584.53,395,-889.51,-2.51,False,87.56
2025-02-01,Ward 6,Beer Hall Levies,COL-024,6468.18,5500.0,150,-968.18,-14.97,True,36.67
2025-02-01,Ward 6,Business Licenses,COL-023,16929.95,16430.52,113,-499.43,-2.95,False,145.4
2025-02-01,Ward 6,Market Fees,COL-022,11020.61,11148.17,967,127.56,1.16,False,11.53
2025-02-01,Ward 6,Property Rates,COL-021,48143.34,50027.32,546,1883.98,3.91,False,91.63
2025-02-01,Ward 7,Beer Hall Levies,COL-028,7149.04,6283.78,180,-865.26,-12.1,False,34.91
2025-02-01,Ward 7,Business Licenses,COL-027,18712.05,20482.77,117,1770.72,9.46,False,175.07
2025-02-01,Ward 7,Market Fees,COL-026,12180.67,13612.29,966,1431.62,11.75,False,14.09
2025-02-01,Ward 7,Property Rates,COL-025,53211.06,51350.73,624,-1860.33,-3.5,False,82.29
2025-02-01,Ward 8,Beer Hall Levies,COL-032,4085.16,3552.91,98,-532.25,-13.03,False,36.25
2025-02-01,Ward 8,Business Licenses,COL-031,10692.6,8821.87,66,-1870.73,-17.5,False,133.66
2025-02-01,Ward 8,Market Fees,COL-030,6960.38,5707.35,664,-1253.03,-18.0,False,8.6
2025-02-01,Ward 8,Property Rates,COL-029,30406.32,28531.44,347,-1874.88,-6.17,False,82.22
2025-03-01,Ward 1,Beer Hall Levies,COL-004,9379.95,9257.91,206,-122.04,-1.3,False,44.94
2025-03-01,Ward 1,Business Licenses,COL-003,18635.7,17869.25,121,-766.45,-4.11,False,147.68
2025-03-01,Ward 1,Market Fees,COL-002,22761.34,25894.94,1804,3133.6,13.77,False,14.35
2025-03-01,Ward 1,Property Rates,COL-001,70191.79,68057.91,806,-2133.88,-3.04,False,84.44
2025-03-01,Ward 2,Beer Hall Levies,COL-008,7115.83,7426.93,152,311.1,4.37,False,48.86
2025-03-01,Ward 2,Business Licenses,COL-007,14137.42,16507.69,91,2370.27,16.77,False,181.4
2025-03-01,Ward 2,Market Fees,COL-006,17267.23,16943.47,1584,-323.76,-1.87,False,10.7
2025-03-01,Ward 2,Property Rates,COL-005,53248.94,57355.59,605,4106.65,7.71,False,94.8
2025-03-01,Ward 3,Beer Hall Levies,COL-012,5498.59,4927.34,111,-571.25,-10.39,False,44.39
2025-03-01,Ward 3,Business Licenses,COL-011,10924.37,10956.53,75,32.16,0.29,False,146.09
2025-03-01,Ward 3,Market Fees,COL-010,13342.86,13255.43,1111,-87.43,-0.66,False,11.93
2025-03-01,Ward 3,Property Rates,COL-009,41146.91,42378.07,504,1231.16,2.99,False,84.08
2025-03-01,Ward 4,Beer Hall Levies,COL-016,7762.72,7161.06,183,-601.66,-7.75,False,39.13
2025-03-01,Ward 4,Business Licenses,COL-015,15422.64,18383.14,94,2960.5,19.2,False,195.57
2025-03-01,Ward 4,Market Fees,COL-014,18836.97,16519.74,1558,-2317.23,-12.3,False,10.6
2025-03-01,Ward 4,Property Rates,COL-013,58089.75,64758.71,676,6668.96,11.48,False,95.8
2025-03-01,Ward 5,Beer Hall Levies,COL-020,4528.25,4538.26,97,10.01,0.22,False,46.79
2025-03-01,Ward 5,Business Licenses,COL-019,8996.54,7959.47,55,-1037.07,-11.53,False,144.72
2025-03-01,Ward 5,Market Fees,COL-018,10988.23,11499.9,1005,511.67,4.66,False,11.44
2025-03-01,Ward 5,Property Rates,COL-017,33885.69,32264.33,374,-1621.36,-4.78,False,86.27
2025-03-01,Ward 6,Beer Hall Levies,COL-024,6145.49,5500.0,136,-645.49,-10.5,True,40.44
2025-03-01,Ward 6,Business Licenses,COL-023,12209.59,11659.98,80,-549.61,-4.5,False,145.75
2025-03-01,Ward 6,Market Fees,COL-022,14912.6,14275.16,1248,-637.44,-4.27,False,11.44
2025-03-01,Ward 6,Property Rates,COL-021,45987.72,42897.43,474,-3090.29,-6.72,False,90.5
2025-03-01,Ward 7,Beer Hall Levies,COL-028,6792.38,7778.1,166,985.72,14.51,False,46.86
2025-03-01,Ward 7,Business Licenses,COL-027,13494.81,13236.95,86,-257.86,-1.91,False,153.92
2025-03-01,Ward 7,Market Fees,COL-026,16482.35,16513.11,1335,30.76,0.19,False,12.37
2025-03-01,Ward 7,Property Rates,COL-025,50828.53,47500.58,606,-3327.95,-6.55,False,78.38
2025-03-01,Ward 8,Beer Hall Levies,COL-032,3881.36,3920.92,96,39.56,1.02,False,40.84
2025-03-01,Ward 8,Business Licenses,COL-031,7711.32,7352.19,47,-359.13,-4.66,False,156.43
2025-03-01,Ward 8,Market Fees,COL-030,9418.49,8518.02,839,-900.47,-9.56,False,10.15
2025-03-01,Ward 8,Property Rates,COL-029,29044.88,28074.79,346,-970.09,-3.34,False,81.14
2025-04-01,Ward 1,Beer Hall Levies,COL-004,14154.35,13800.37,324,-353.98,-2.5,False,42.59
2025-04-01,Ward 1,Business Licenses,COL-003,14307.83,14201.81,91,-106.02,-0.74,False,156.06
2025-04-01,Ward 1,Market Fees,COL-002,31449.3,36351.82,2679,4902.52,15.59,False,13.57
2025-04-01,Ward 1,Property Rates,COL-001,60672.18,61010.65,716,338.47,0.56,False,85.21
2025-04-01,Ward 2,Beer Hall Levies,COL-008,10737.78,10312.76,246,-425.02,-3.96,False,41.92
2025-04-01,Ward 2,Business Licenses,COL-007,10854.22,10782.01,70,-72.21,-0.67,False,154.03
2025-04-01,Ward 2,Market Fees,COL-006,23858.09,23908.0,2010,49.91,0.21,False,11.89
2025-04-01,Ward 2,Property Rates,COL-005,46027.17,45685.26,507,-341.91,-0.74,False,90.11
2025-04-01,Ward 3,Beer Hall Levies,COL-012,8297.38,8436.05,181,138.67,1.67,False,46.61
2025-04-01,Ward 3,Business Licenses,COL-011,8387.35,6936.62,58,-1450.73,-17.3,False,119.6
2025-04-01,Ward 3,Market Fees,COL-010,18435.79,17235.6,1772,-1200.19,-6.51,False,9.73
2025-04-01,Ward 3,Property Rates,COL-009,35566.45,37391.0,430,1824.55,5.13,False,86.96
2025-04-01,Ward 4,Beer Hall Levies,COL-016,11713.95,10737.23,267,-976.72,-8.34,False,40.21
2025-04-01,Ward 4,Business Licenses,COL-015,11840.96,12054.42,70,213.46,1.8,False,172.21
2025-04-01,Ward 4,Market Fees,COL-014,26027.0,25556.96,2031,-470.04,-1.81,False,12.58
2025-04-01,Ward 4,Property Rates,COL-013,50211.46,55661.48,591,5450.02,10.85,False,94.18
2025-04-01,Ward 5,Beer Hall Levies,COL-020,6833.14,5433.32,153,-1399.82,-20.49,False,35.51
2025-04-01,Ward 5,Business Licenses,COL-019,6907.23,6074.79,43,-832.44,-12.05,False,141.27
2025-04-01,Ward 5,Market Fees,COL-018,15182.42,14904.55,1499,-277.87,-1.83,False,9.94
2025-04-01,Ward 5,Property Rates,COL-017,29290.02,28340.32,346,-949.7,-3.24,False,81.91
2025-04-01,Ward 6,Beer Hall Levies,COL-024,9273.54,9000.0,201,-273.54,-2.95,True,44.78
2025-04-01,Ward 6,Business Licenses,COL-023,9374.1,9069.07,55,-305.03,-3.25,False,164.89
2025-04-01,Ward 6,Market Fees,COL-022,20604.71,22258.92,1712,1654.21,8.03,False,13.0
2025-04-01,Ward 6,Property Rates,COL-021,39750.74,38526.32,449,-1224.42,-3.08,False,85.8
2025-04-01,Ward 7,Beer Hall Levies,COL-028,10249.7,9849.18,275,-400.52,-3.91,False,35.82
2025-04-01,Ward 7,Business Licenses,COL-027,10360.84,10178.53,68,-182.31,-1.76,False,149.68
2025-04-01,Ward 7,Market Fees,COL-026,22773.63,24251.88,1860,1478.25,6.49,False,13.04
2025-04-01,Ward 7,Property Rates,COL-025,43935.03,44548.98,517,613.95,1.4,False,86.17
2025-04-01,Ward 8,Beer Hall Levies,COL-032,5856.97,4717.43,150,-1139.54,-19.46,False,31.45
2025-04-01,Ward 8,Business Licenses,COL-031,5920.48,4878.53,36,-1041.95,-17.6,False,135.51
2025-04-01,Ward 8,Market Fees,COL-030,13013.5,11593.7,1312,-1419.8,-10.91,False,8.84
2025-04-01,Ward 8,Property Rates,COL-029,25105.73,22483.84,278,-2621.89,-10.44,False,80.88
2025-05-01,Ward 1,Beer Hall Levies,COL-004,16472.89,18908.0,359,2435.11,14.78,False,52.67
2025-05-01,Ward 1,Business Licenses,COL-003,12155.05,11515.32,81,-639.73,-5.26,False,142.16
2025-05-01,Ward 1,Market Fees,COL-002,33279.75,30798.2,2898,-2481.55,-7.46,False,10.63
2025-05-01,Ward 1,Property Rates,COL-001,57270.82,56937.07,691,-333.75,-0.58,False,82.4
2025-05-01,Ward 2,Beer Hall Levies,COL-008,12496.67,12784.29,267,287.62,2.3,False,47.88
2025-05-01,Ward 2,Business Licenses,COL-007,9221.07,8313.36,58,-907.71,-9.84,False,143.33
2025-05-01,Ward 2,Market Fees,COL-006,25246.71,26033.36,2233,786.65,3.12,False,11.66
2025-05-01,Ward 2,Property Rates,COL-005,43446.83,45799.62,471,2352.79,5.42,False,97.24
2025-05-01,Ward 3,Beer Hall Levies,COL-012,9656.52,10737.66,197,1081.14,11.2,False,54.51
2025-05-01,Ward 3,Business Licenses,COL-011,7125.37,6900.0,48,-225.37,-3.16,True,143.75
2025-05-01,Ward 3,Market Fees,COL-010,19508.82,18670.93,1643,-837.89,-4.29,False,11.36
2025-05-01,Ward 3,Property Rates,COL-009,33572.55,30006.31,429,-3566.24,-10.62,False,69.94
2025-05-01,Ward 4,Beer Hall Levies,COL-016,13632.74,12126.13,341,-1506.61,-11.05,False,35.56
2025-05-01,Ward 4,Business Licenses,COL-015,10059.35,10184.92,59,125.57,1.25,False,172.63
2025-05-01,Ward 4,Market Fees,COL-014,27541.86,30543.29,2214,3001.43,10.9,False,13.8
2025-05-01,Ward 4,Property Rates,COL-013,47396.54,48653.8,559,1257.26,2.65,False,87.04
2025-05-01,Ward 5,Beer Hall Levies,COL-020,7952.43,7038.93,183,-913.5,-11.49,False,38.46
2025-05-01,Ward 5,Business Licenses,COL-019,5867.96,5311.07,36,-556.89,-9.49,False,147.53
2025-05-01,Ward 5,Market Fees,COL-018,16066.09,16084.88,1493,18.79,0.12,False,10.77
2025-05-01,Ward 5,Property Rates,COL-017,27647.98,25581.74,304,-2066.24,-7.47,False,84.15
2025-05-01,Ward 6,Beer Hall Levies,COL-024,10792.58,9698.47,235,-1094.11,-10.14,False,41.27
2025-05-01,Ward 6,Business Licenses,COL-023,7963.65,7937.78,53,-25.87,-0.32,False,149.77
2025-05-01,Ward 6,Market Fees,COL-022,21803.98,19561.12,1953,-2242.86,-10.29,False,10.02
2025-05-01,Ward 6,Property Rates,COL-021,37522.26,36095.48,397,-1426.78,-3.8,False,90.92
2025-05-01,Ward 7,Beer Hall Levies,COL-028,11928.64,12754.9,291,826.26,6.93,False,43.83
2025-05-01,Ward 7,Business Licenses,COL-027,8801.93,8582.31,59,-219.62,-2.5,False,145.46
2025-05-01,Ward 7,Market Fees,COL-026,24099.13,25165.09,2000,1065.96,4.42,False,12.58
2025-05-01,Ward 7,Property Rates,COL-025,41471.97,42099.71,452,627.74,1.51,False,93.14
2025-05-01,Ward 8,Beer Hall Levies,COL-032,6816.37,5939.92,164,-876.45,-12.86,False,36.22
2025-05-01,Ward 8,Business Licenses,COL-031,5029.68,4833.12,29,-196.56,-3.91,False,166.66
2025-05-01,Ward 8,Market Fees,COL-030,13770.93,11407.15,1300,-2363.78,-17.16,False,8.77
2025-05-01,Ward 8,Property Rates,COL-029,23698.27,22634.47,276,-1063.8,-4.49,False,82.01
2025-06-01,Ward 1,Beer Hall Levies,COL-004,17133.48,17152.98,371,19.5,0.11,False,46.23
2025-06-01,Ward 1,Business Licenses,COL-003,11464.06,10516.39,75,-947.67,-8.27,False,140.22
2025-06-01,Ward 1,Market Fees,COL-002,30269.54,29110.02,2632,-1159.52,-3.83,False,11.06
2025-06-01,Ward 1,Property Rates,COL-001,59463.61,56549.52,680,-2914.09,-4.9,False,83.16
2025-06-01,Ward 2,Beer Hall Levies,COL-008,12997.81,13031.21,301,33.4,0.26,False,43.29
2025-06-01,Ward 2,Business Licenses,COL-007,8696.87,8915.91,62,219.04,2.52,False,143.81
2025-06-01,Ward 2,Market Fees,COL-006,22963.1,23478.22,1999,515.12,2.24,False,11.74
2025-06-01,Ward 2,Property Rates,COL-005,45110.32,41415.62,515,-3694.7,-8.19,False,80.42
2025-06-01,Ward 3,Beer Hall Levies,COL-012,10043.76,9713.52,176,-330.24,-3.29,False,55.19
2025-06-01,Ward 3,Business Licenses,COL-011,6720.31,6452.53,47,-267.78,-3.98,False,137.29
2025-06-01,Ward 3,Market Fees,COL-010,17744.22,16064.34,1439,-1679.88,-9.47,False,11.16
2025-06-01,Ward 3,Property Rates,COL-009,34857.98,34326.96,425,-531.02,-1.52,False,80.77
2025-06-01,Ward 4,Beer Hall Levies,COL-016,14179.43,16579.49,313,2400.06,16.93,False,52.97
2025-06-01,Ward 4,Business Licenses,COL-015,9487.49,8673.8,60,-813.69,-8.58,False,144.56
2025-06-01,Ward 4,Market Fees,COL-014,25050.66,25570.64,2200,519.98,2.08,False,11.62
2025-06-01,Ward 4,Property Rates,COL-013,49211.26,48303.32,598,-907.94,-1.84,False,80.77
2025-06-01,Ward 5,Beer Hall Levies,COL-020,8271.34,8638.43,176,367.09,4.44,False,49.08
2025-06-01,Ward 5,Business Licenses,COL-019,5534.37,4868.67,35,-665.7,-12.03,False,139.1
2025-06-01,Ward 5,Market Fees,COL-018,14612.88,12850.76,1363,-1762.12,-12.06,False,9.43
2025-06-01,Ward 5,Property Rates,COL-017,28706.57,26137.63,353,-2568.94,-8.95,False,74.04
2025-06-01,Ward 6,Beer Hall Levies,COL-024,11225.38,10515.53,226,-709.85,-6.32,False,46.53
2025-06-01,Ward 6,Business Licenses,COL-023,7510.93,7531.44,54,20.51,0.27,False,139.47
2025-06-01,Ward 6,Market Fees,COL-022,19831.77,20357.98,1740,526.21,2.65,False,11.7
2025-06-01,Ward 6,Property Rates,COL-021,38958.92,39063.24,403,104.32,0.27,False,96.93
2025-06-01,Ward 7,Beer Hall Levies,COL-028,12407.0,11843.07,266,-563.93,-4.55,False,44.52
2025-06-01,Ward 7,Business Licenses,COL-027,8301.56,8734.12,50,432.56,5.21,False,174.68
2025-06-01,Ward 7,Market Fees,COL-026,21919.33,20600.17,1698,-1319.16,-6.02,False,12.13
2025-06-01,Ward 7,Property Rates,COL-025,43059.86,41511.12,536,-1548.74,-3.6,False,77.45
2025-06-01,Ward 8,Beer Hall Levies,COL-032,7089.72,6255.5,166,-834.22,-11.77,False,37.68
2025-06-01,Ward 8,Business Licenses,COL-031,4743.75,4242.85,30,-500.9,-10.56,False,141.43
2025-06-01,Ward 8,Market Fees,COL-030,12525.33,11788.52,1089,-736.81,-5.88,False,10.83
2025-06-01,Ward 8,Property Rates,COL-029,24605.63,22534.39,267,-2071.24,-8.42,False,84.4
2025-07-01,Ward 1,Beer Hall Levies,COL-004,16388.6,16984.6,370,596.0,3.64,False,45.9
2025-07-01,Ward 1,Business Licenses,COL-003,17450.51,17428.88,117,-21.63,-0.12,False,148.96
2025-07-01,Ward 1,Market Fees,COL-002,27759.87,29421.86,2437,1661.99,5.99,False,12.07
2025-07-01,Ward 1,Property Rates,COL-001,69231.29,67398.81,766,-1832.48,-2.65,False,87.99
2025-07-01,Ward 2,Beer Hall Levies,COL-008,12432.73,13079.83,285,647.1,5.2,False,45.89
2025-07-01,Ward 2,Business Licenses,COL-007,13238.32,14102.15,81,863.83,6.53,False,174.1
2025-07-01,Ward 2,Market Fees,COL-006,21059.22,18913.35,1797,-2145.87,-10.19,False,10.52
2025-07-01,Ward 2,Property Rates,COL-005,52520.29,53111.64,539,591.35,1.13,False,98.54
2025-07-01,Ward 3,Beer Hall Levies,COL-012,9607.11,9116.9,219,-490.21,-5.1,False,41.63
2025-07-01,Ward 3,Business Licenses,COL-011,10229.61,9718.78,69,-510.83,-4.99,False,140.85
2025-07-01,Ward 3,Market Fees,COL-010,16273.03,16621.06,1379,348.03,2.14,False,12.05
2025-07-01,Ward 3,Property Rates,COL-009,40583.86,38686.11,519,-1897.75,-4.68,False,74.54
2025-07-01,Ward 4,Beer Hall Levies,COL-016,13562.98,14328.51,277,765.53,5.64,False,51.73
2025-07-01,Ward 4,Business Licenses,COL-015,14441.8,14183.55,92,-258.25,-1.79,False,154.17
2025-07-01,Ward 4,Market Fees,COL-014,22973.69,25213.44,2093,2239.75,9.75,False,12.05
2025-07-01,Ward 4,Property Rates,COL-013,57294.86,58420.62,683,1125.76,1.96,False,85.54
2025-07-01,Ward 5,Beer Hall Levies,COL-020,7911.74,8439.79,174,528.05,6.67,False,48.5
2025-07-01,Ward 5,Business Licenses,COL-019,8424.38,7199.63,55,-1224.75,-14.54,False,130.9
2025-07-01,Ward 5,Market Fees,COL-018,13401.32,12143.95,1167,-1257.37,-9.38,False,10.41
2025-07-01,Ward 5,Property Rates,COL-017,33422.0,32197.14,424,-1224.86,-3.66,False,75.94
2025-07-01,Ward 6,Beer Hall Levies,COL-024,10737.36,9874.77,248,-862.59,-8.03,False,39.82
2025-07-01,Ward 6,Business Licenses,COL-023,11433.09,12430.46,76,997.37,8.72,False,163.56
2025-07-01,Ward 6,Market Fees,COL-022,18187.5,18828.31,1472,640.81,3.52,False,12.79
2025-07-01,Ward 6,Property Rates,COL-021,45358.43,42104.36,501,-3254.07,-7.17,False,84.04
2025-07-01,Ward 7,Beer Hall Levies,COL-028,11867.6,12795.01,284,927.41,7.81,False,45.05
2025-07-01,Ward 7,Business Licenses,COL-027,12636.58,14337.08,75,1700.5,13.46,False,191.16
2025-07-01,Ward 7,Market Fees,COL-026,20101.98,20142.49,1690,40.51,0.2,False,11.92
2025-07-01,Ward 7,Property Rates,COL-025,50133.0,46437.23,624,-3695.77,-7.37,False,74.42
2025-07-01,Ward 8,Beer Hall Levies,COL-032,6781.49,6128.42,171,-653.07,-9.63,False,35.84
2025-07-01,Ward 8,Business Licenses,COL-031,7220.9,6621.69,43,-599.21,-8.3,False,153.99
2025-07-01,Ward 8,Market Fees,COL-030,11486.84,11957.16,1090,470.32,4.09,False,10.97
2025-07-01,Ward 8,Property Rates,COL-029,28647.43,25482.18,323,-3165.25,-11.05,False,78.89
2025-08-01,Ward 1,Beer Hall Levies,COL-004,15634.15,16122.7,337,488.55,3.12,False,47.84
2025-08-01,Ward 1,Business Licenses,COL-003,13792.59,14205.11,92,412.52,2.99,False,154.4
2025-08-01,Ward 1,Market Fees,COL-002,26309.83,26880.66,2300,570.83,2.17,False,11.69
2025-08-01,Ward 1,Property Rates,COL-001,64549.37,66736.55,845,2187.18,3.39,False,78.98
2025-08-01,Ward 2,Beer Hall Levies,COL-008,11860.39,12734.26,241,873.87,7.37,False,52.84
2025-08-01,Ward 2,Business Licenses,COL-007,10463.34,9466.74,69,-996.6,-9.52,False,137.2
2025-08-01,Ward 2,Market Fees,COL-006,19959.18,21218.09,1787,1258.91,6.31,False,11.87
2025-08-01,Ward 2,Property Rates,COL-005,48968.49,48710.71,551,-257.78,-0.53,False,88.4
2025-08-01,Ward 3,Beer Hall Levies,COL-012,9164.85,9350.87,196,186.02,2.03,False,47.71
2025-08-01,Ward 3,Business Licenses,COL-011,8085.31,7699.53,56,-385.78,-4.77,False,137.49
2025-08-01,Ward 3,Market Fees,COL-010,15423.0,14387.26,1429,-1035.74,-6.72,False,10.07
2025-08-01,Ward 3,Property Rates,COL-009,37839.28,39978.55,432,2139.27,5.65,False,92.54
2025-08-01,Ward 4,Beer Hall Levies,COL-016,12938.61,12966.32,263,27.71,0.21,False,49.3
2025-08-01,Ward 4,Business Licenses,COL-015,11414.55,9264.35,71,-2150.2,-18.84,False,130.48
2025-08-01,Ward 4,Market Fees,COL-014,21773.65,21681.08,1810,-92.57,-0.43,False,11.98
2025-08-01,Ward 4,Property Rates,COL-013,53420.17,52927.18,586,-492.99,-0.92,False,90.32
2025-08-01,Ward 5,Beer Hall Levies,COL-020,7547.52,6776.78,183,-770.74,-10.21,False,37.03
2025-08-01,Ward 5,Business Licenses,COL-019,6658.49,6789.33,41,130.84,1.97,False,165.59
2025-08-01,Ward 5,Market Fees,COL-018,12701.3,12781.39,1200,80.09,0.63,False,10.65
2025-08-01,Ward 5,Property Rates,COL-017,31161.76,31476.78,360,315.02,1.01,False,87.44
2025-08-01,Ward 6,Beer Hall Levies,COL-024,10243.07,9000.0,210,-1243.07,-12.14,True,42.86
2025-08-01,Ward 6,Business Licenses,COL-023,9036.52,8976.15,55,-60.37,-0.67,False,163.2
2025-08-01,Ward 6,Market Fees,COL-022,17237.47,18513.06,1487,1275.59,7.4,False,12.45
2025-08-01,Ward 6,Property Rates,COL-021,42290.96,42000.1,454,-290.86,-0.69,False,92.51
2025-08-01,Ward 7,Beer Hall Levies,COL-028,11321.28,9819.95,272,-1501.33,-13.26,False,36.1
2025-08-01,Ward 7,Business Licenses,COL-027,9987.74,9672.37,62,-315.37,-3.16,False,156.01
2025-08-01,Ward 7,Market Fees,COL-026,19051.95,17941.27,1458,-1110.68,-5.83,False,12.31
2025-08-01,Ward 7,Property Rates,COL-025,46742.65,46384.48,522,-358.17,-0.77,False,88.86
2025-08-01,Ward 8,Beer Hall Levies,COL-032,6469.31,6121.64,157,-347.67,-5.37,False,38.99
2025-08-01,Ward 8,Business Licenses,COL-031,5707.28,4660.85,38,-1046.43,-18.34,False,122.65
2025-08-01,Ward 8,Market Fees,COL-030,10886.83,10614.66,1032,-272.17,-2.5,False,10.29
2025-08-01,Ward 8,Property Rates,COL-029,26710.08,23704.38,343,-3005.7,-11.25,False,69.11
2025-09-01,Ward 1,Beer Hall Levies,COL-004,13726.22,13418.5,308,-307.72,-2.24,False,43.57
2025-09-01,Ward 1,Business Licenses,COL-003,10853.65,9972.68,66,-880.97,-8.12,False,151.1
2025-09-01,Ward 1,Market Fees,COL-002,25390.08,28075.26,2227,2685.18,10.58,False,12.61
2025-09-01,Ward 1,Property Rates,COL-001,59813.85,60791.99,740,978.14,1.64,False,82.15
2025-09-01,Ward 2,Beer Hall Levies,COL-008,10412.99,11277.9,233,864.91,8.31,False,48.4
